漁期年,資源量（千トン）,漁獲量（千トン）
1979,,189
1980,,214
1981,1054,156
1982,641,162
1983,570,159
1984,439,135
1985,363,130
1986,271,73
1987,506,172
1988,471,140
1989,467,183
1990,473,178
1991,793,188
1992,940,226
1993,1056,282
1994,1243,259
1995,1209,250
1996,1356,315
1997,1798,275
1998,662,206
1999,1506,305
2000,1604,260
2001,1603,264
2002,1577,288
2003,1181,277
2004,857,214
2005,963,365
2006,1079,374
2007,919,297
2008,1539,335
2009,1379,188
2010,1092,306
2011,1298,278
2012,1106,293
2013,983,114
2014,1816,259
2015,1063,245
2016,707,229
2017,860,229
2018,658,205
2019,513,191
2020,934,198
2021,339,80
2022,299,47
2023,123,25
2024,108,16
2025,120,36