年,資源量（トン）,漁獲量（トン）,漁獲係数（漁獲量／資源量）
1994,145050,57303,0.3951
1995,149325,65250,0.437
1996,141342,54310,0.3842
1997,142573,53274,0.3737
1998,145168,55103,0.3796
1999,163285,63546,0.3892
2000,172914,82275,0.4758
2001,163169,73400,0.4498
2002,152637,56568,0.3706
2003,162117,64458,0.3976
2004,165972,71672,0.4318
2005,169124,57765,0.3416
2006,200235,74427,0.3717
2007,213055,78991,0.3708
2008,223811,88610,0.3959
2009,253167,92413,0.365
2010,299326,126363,0.4222
2011,310652,120855,0.389
2012,309156,110854,0.3586
2013,338580,130802,0.3863
2014,347030,136382,0.393
2015,338553,132020,0.39
2016,352999,122321,0.3465
2017,369078,136440,0.3697
2018,333921,113855,0.341
2019,351732,125221,0.356
2020,357084,119362,0.3343
2021,383725,109637,0.2857
2022,392301,114345,0.2915
2023,389288,112550,0.2891
2024,343256,104298,0.3039