漁期年,資源量（千トン）,漁獲量（千トン）,,黒潮大蛇行の有無
1979,,189,,1
1980,,214,,0
1981,1054,156,0.1480075901,1
1982,641,162,0.2527301092,1
1983,570,159,0.2789473684,1
1984,439,135,0.3075170843,1
1985,363,130,0.3581267218,0
1986,271,73,0.2693726937,0
1987,506,172,0.3399209486,1
1988,471,140,0.2972399151,1
1989,467,183,0.391862955,0
1990,473,178,0.3763213531,1
1991,793,188,0.237074401,0
1992,940,226,0.2404255319,0
1993,1056,282,0.2670454545,0
1994,1243,259,0.2083668544,0
1995,1209,250,0.2067824648,0
1996,1356,315,0.232300885,0
1997,1798,275,0.1529477197,0
1998,662,206,0.3111782477,0
1999,1506,305,0.2025232404,0
2000,1604,260,0.1620947631,0
2001,1603,264,0.164691204,0
2002,1577,288,0.1826252378,0
2003,1181,277,0.2345469941,0
2004,857,214,0.2497082847,1
2005,963,365,0.3790238837,1
2006,1079,374,0.3466172382,0
2007,919,297,0.3231773667,0
2008,1539,335,0.2176738142,0
2009,1379,188,0.1363306744,0
2010,1092,306,0.2802197802,0
2011,1298,278,0.2141756549,0
2012,1106,293,0.2649186257,0
2013,983,114,0.1159715158,0
2014,1816,259,0.1426211454,0
2015,1063,245,0.2304797742,0
2016,707,229,0.323903819,0
2017,860,229,0.2662790698,1
2018,658,205,0.311550152,1
2019,513,191,0.3723196881,1
2020,934,198,0.2119914347,1
2021,339,80,0.2359882006,1
2022,299,47,0.1571906355,1
2023,123,25,0.2032520325,1
2024,108,16,0.1481481481,1
2025,120,36,0.3,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,