年,資源量（万トン）,漁獲量（万トン）,漁獲係数（漁獲量／資源量）,黒潮大蛇行の有無
1975,,43,,1
1976,386.2,75.6,0.1958,1
1977,555.3,99.1,0.1785,1
1978,744,114.9,0.1544,1
1979,864.7,108.9,0.1259,1
1980,1336.6,144.5,0.1081,0
1981,1541.5,229.6,0.1489,1
1982,1583,241.9,0.1528,1
1983,1515.1,272.5,0.1799,1
1984,1441.9,287,0.199,1
1985,1739.2,264.4,0.152,0
1986,1888.1,268.5,0.1422,0
1987,1954.2,291.6,0.1492,1
1988,1777.4,283.8,0.1597,1
1989,1250.7,252.4,0.2018,0
1990,798.1,216.2,0.2709,1
1991,454.6,172.4,0.3792,0
1992,246.5,124,0.503,0
1993,146.7,79.1,0.5392,0
1994,87.9,42.5,0.4835,0
1995,75.6,33.2,0.4392,0
1996,80.5,18.1,0.2248,0
1997,91.6,25.5,0.2784,0
1998,72.7,14.2,0.1953,0
1999,70.1,30.8,0.4394,0
2000,41.1,13.9,0.3382,0
2001,30.5,17.7,0.5803,0
2002,15.7,4.9,0.3121,0
2003,12.1,5.1,0.4215,0
2004,10.9,4.8,0.4404,1
2005,8.7,2.5,0.2874,1
2006,13.1,4.9,0.374,0
2007,11.2,6.5,0.5804,0
2008,9.9,2.7,0.2727,0
2009,12.8,4.9,0.3828,0
2010,30.7,6.5,0.2117,0
2011,44.3,13.2,0.2979,0
2012,49.2,10.2,0.2073,0
2013,59.3,13,0.2192,0
2014,101,18.6,0.1842,0
2015,128.2,27.1,0.2114,0
2016,168.6,32.7,0.1939,0
2017,223,47,0.2108,1
2018,332.2,54.3,0.1635,1
2019,420.2,72.6,0.1728,1
2020,491.3,103.4,0.2105,1
2021,534.1,107.8,0.2018,1
2022,590.3,112.5,0.1906,1
2023,555.3,135.5,0.244,1
2024,399.8,137.6,0.3442,1